,CodeRoute,Latitude,Longitude,Altitude,Date,Speed,TimeDifference,Distance,FileName
15535,623874,38.98446,1.536489,0.0,2009-11-19 16:30:28,0.0,0,0.0,
15536,623874,38.987417,1.53924,0.0,2009-11-19 16:31:48,5.068653623743839,80,405.4922898995071,
15537,623874,38.98782,1.539926,0.0,2009-11-19 16:32:20,2.320934560987387,32,74.26990595159639,
15538,623874,38.987806,1.539884,0.0,2009-11-19 16:33:10,0.07894199158523328,50,3.947099579261664,
15539,623874,38.987807,1.539862,0.0,2009-11-19 16:33:39,0.06563502679440071,29,1.9034157770376208,
15540,623874,38.987825,1.539775,0.0,2009-11-19 16:34:31,0.1495375184611614,52,7.775950959980392,
15541,623874,38.98772,1.539862,0.0,2009-11-19 16:35:13,0.33042766778243793,42,13.877962046862393,
15542,623874,38.987709,1.539934,0.0,2009-11-19 16:35:45,0.19805414679206182,32,6.337732697345978,
15543,623874,38.987773,1.539879,0.0,2009-11-19 16:36:40,0.1554971115352221,55,8.552341134437215,
15544,623874,38.987802,1.539865,0.0,2009-11-19 16:37:13,0.10429939936339888,33,3.441880178992163,
15545,623874,38.987843,1.539836,0.0,2009-11-19 16:37:48,0.14854468867071308,35,5.199064103474957,
15546,623874,38.987875,1.539743,0.0,2009-11-19 16:38:52,0.13725607359881367,64,8.784388710324075,
15547,623874,38.987726,1.539828,0.0,2009-11-19 16:39:20,0.646841775880643,28,18.111569724658004,
15548,623874,38.988916,1.541728,0.0,2009-11-19 16:40:10,4.2149875028224475,50,210.74937514112236,
15549,623874,38.991743,1.546993,0.0,2009-11-19 16:41:49,5.582594304276277,99,552.6768361233514,
15550,623874,38.998379,1.559562,0.0,2009-11-19 16:45:34,5.832096286368172,225,1312.2216644328387,
15551,623874,38.995488,1.567559,0.0,2009-11-19 16:47:25,6.8621166647866785,111,761.6949497913213,
15552,623874,38.995878,1.570425,0.0,2009-11-19 16:48:02,6.791278477348629,37,251.27730366189928,
